@@	1100	Hangul Jamo	11FF
1166	HANGUL JUNGSEONG E
	= E
1167	HANGUL JUNGSEONG YEO
	= YEO
1168	HANGUL JUNGSEONG YE
	= YE
1169	HANGUL JUNGSEONG O
	= O
116A	HANGUL JUNGSEONG WA
	= WA
116B	HANGUL JUNGSEONG WAE
	= WAE
116C	HANGUL JUNGSEONG OE
	= OE
116D	HANGUL JUNGSEONG YO
	= YO
116E	HANGUL JUNGSEONG U
	= U
116F	HANGUL JUNGSEONG WEO
	= WEO
1170	HANGUL JUNGSEONG WE
	= WE
1171	HANGUL JUNGSEONG WI
	= WI
1172	HANGUL JUNGSEONG YU
	= YU
1173	HANGUL JUNGSEONG EU
	= EU
1174	HANGUL JUNGSEONG YI
	= YI
1175	HANGUL JUNGSEONG I
	= I
@		Old medial vowels
1176	HANGUL JUNGSEONG A-O
1177	HANGUL JUNGSEONG A-U
1178	HANGUL JUNGSEONG YA-O
1179	HANGUL JUNGSEONG YA-YO
117A	HANGUL JUNGSEONG EO-O
117B	HANGUL JUNGSEONG EO-U
117C	HANGUL JUNGSEONG EO-EU
117D	HANGUL JUNGSEONG YEO-O
117E	HANGUL JUNGSEONG YEO-U
117F	HANGUL JUNGSEONG O-EO
1180	HANGUL JUNGSEONG O-E
1181	HANGUL JUNGSEONG O-YE
1182	HANGUL JUNGSEONG O-O
1183	HANGUL JUNGSEONG O-U
1184	HANGUL JUNGSEONG YO-YA
1185	HANGUL JUNGSEONG YO-YAE
1186	HANGUL JUNGSEONG YO-YEO
1187	HANGUL JUNGSEONG YO-O
1188	HANGUL JUNGSEONG YO-I
1189	HANGUL JUNGSEONG U-A
118A	HANGUL JUNGSEONG U-AE
118B	HANGUL JUNGSEONG U-EO-EU
118C	HANGUL JUNGSEONG U-YE
118D	HANGUL JUNGSEONG U-U
118E	HANGUL JUNGSEONG YU-A
118F	HANGUL JUNGSEONG YU-EO
1190	HANGUL JUNGSEONG YU-E
1191	HANGUL JUNGSEONG YU-YEO
1192	HANGUL JUNGSEONG YU-YE
1193	HANGUL JUNGSEONG YU-U
1194	HANGUL JUNGSEONG YU-I
1195	HANGUL JUNGSEONG EU-U
1196	HANGUL JUNGSEONG EU-EU
1197	HANGUL JUNGSEONG YI-U
1198	HANGUL JUNGSEONG I-A
1199	HANGUL JUNGSEONG I-YA
119A	HANGUL JUNGSEONG I-O
119B	HANGUL JUNGSEONG I-U
119C	HANGUL JUNGSEONG I-EU
119D	HANGUL JUNGSEONG I-ARAEA
119E	HANGUL JUNGSEONG ARAEA
	* rounded open-mid back vowel
119F	HANGUL JUNGSEONG ARAEA-EO
11A0	HANGUL JUNGSEONG ARAEA-U
11A1	HANGUL JUNGSEONG ARAEA-I
11A2	HANGUL JUNGSEONG SSANGARAEA
11A3	HANGUL JUNGSEONG A-EU
11A4	HANGUL JUNGSEONG YA-U
11A5	HANGUL JUNGSEONG YEO-YA
11A6	HANGUL JUNGSEONG O-YA
11A7	HANGUL JUNGSEONG O-YAE
@		Final consonants
11A8	HANGUL JONGSEONG KIYEOK
	= G
11A9	HANGUL JONGSEONG SSANGKIYEOK
	= GG
11AA	HANGUL JONGSEONG KIYEOK-SIOS
	= GS
11AB	HANGUL JONGSEONG NIEUN
	= N
11AC	HANGUL JONGSEONG NIEUN-CIEUC
	= NJ
11AD	HANGUL JONGSEONG NIEUN-HIEUH
	= NH
11AE	HANGUL JONGSEONG TIKEUT
	= D
11AF	HANGUL JONGSEONG RIEUL
	= L
11B0	HANGUL JONGSEONG RIEUL-KIYEOK
	= LG
11B1	HANGUL JONGSEONG RIEUL-MIEUM
	= LM
11B2	HANGUL JONGSEONG RIEUL-PIEUP
	= LB
11B3	HANGUL JONGSEONG RIEUL-SIOS
	= LS
11B4	HANGUL JONGSEONG RIEUL-THIEUTH
	= LT
11B5	HANGUL JONGSEONG RIEUL-PHIEUPH
	= LP
11B6	HANGUL JONGSEONG RIEUL-HIEUH
	= LH
11B7	HANGUL JONGSEONG MIEUM
	= M
11B8	HANGUL JONGSEONG PIEUP
	= B
11B9	HANGUL JONGSEONG PIEUP-SIOS
	= BS
11BA	HANGUL JONGSEONG SIOS
	= S
11BB	HANGUL JONGSEONG SSANGSIOS
	= SS
11BC	HANGUL JONGSEONG IEUNG
	= NG
	* velar nasal consonant
11BD	HANGUL JONGSEONG CIEUC
	= J
11BE	HANGUL JONGSEONG CHIEUCH
	= C
11BF	HANGUL JONGSEONG KHIEUKH
	= K
11C0	HANGUL JONGSEONG THIEUTH
	= T
11C1	HANGUL JONGSEONG PHIEUPH
	= P
11C2	HANGUL JONGSEONG HIEUH
	= H
@		Old final consonants
11C3	HANGUL JONGSEONG KIYEOK-RIEUL
11C4	HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK
11C5	HANGUL JONGSEONG NIEUN-KIYEOK
11C6	HANGUL JONGSEONG NIEUN-TIKEUT
